position,link,title,source,date,snippet,thumbnail
11,https://news.ucr.edu/articles/2025/03/24/economist-assesses-tariff-impacts-stock-market-trade,"Economist assesses tariff impacts on stock market, trade",UCR News,"Mar 24, 2025","President Donald Trump's implementations and threats of tariffs have created stock market instability, driving talk of a possible recession.",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea29336729e6888fe11a49f922a985a07482aa068d57fd107b.jpeg
12,https://apnews.com/article/trump-tariffs-explainer-399b5d4da6e6be77cefabf25ceaa8191,What to know about Trump’s tariffs and their impact on businesses and shoppers,AP News,"Mar 4, 2025","Trump's 25% tariffs on imports from Canada and Mexico went into effect Tuesday, along with a heightened 20% levy on Chinese goods.",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eac140bbd3d6903168ec156d8eade30e4a7aa91b965985cddf.jpeg
13,https://www.cnn.com/2025/03/13/business/alcohol-tariffs-eu-trump-trade-war,Trump threatens 200% tariff on European alcohol as trade war escalates,CNN,"Mar 13, 2025","In a post on Truth Social, Trump said his administration would impose a 200% tariff on alcoholic beverages from the EU unless it rescinds the 50% tariff the...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ead5073a0d9e5e067fd62b95a749021df53baa4ed46e12d255.jpeg
14,https://www.colorado.edu/today/2025/03/24/what-are-tariffs-who-pays-them-and-what-can-they-do-economy,"What are tariffs, who pays for them and what can they do to the economy?",University of Colorado Boulder,"Mar 24, 2025","The importer—Walmart, Target or somebody else—has to pay that $40. Then they have to decide whether they're going to mark that $40 up into a higher sales price...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea9e67ca6b3d35972058ad3f0a541c13140ec3df96589fc5a6.jpeg
15,https://www.npr.org/2025/03/07/nx-s1-5320159/trump-week-tariffs-mexico-canada-doge,The short history of Trump’s tariff chaos — and more that happened this week,NPR,"Mar 7, 2025",President Trump again reversed himself and is delaying tariffs against Mexico and Canada. It was just the latest chapter in a chaotic rollout.,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea704612b41c7380f87b9c7db3dfb928606c4f5279f65a1f6b.jpeg
16,https://www.nbcnews.com/politics/economics/trump-puts-tariffs-thousands-goods-canada-mexico-risking-higher-prices-rcna194542,"Trump puts U.S. tariffs on thousands of goods from Canada and Mexico, risking higher prices",NBC News,"Mar 5, 2025","President Donald Trump has moved forward with a plan to put sweeping tariffs on all goods coming into the United States from Canada and Mexico, threatening a...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea017fd7adf503d5c2e3c87ea597445d765b4ac4560a97f87a.jpeg
17,https://www.whitecase.com/insight-alert/president-trump-orders-25-global-tariff-automotive-imports,President Trump Orders 25% Global Tariff on Automotive Imports,White & Case LLP,"Mar 27, 2025","President Trump signed a presidential proclamation imposing an additional 25% tariff on all imports of passenger vehicles, light trucks, and certain automotive...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea247336c8b481a93e6a36a9c8c4c188b5afd87450e708e64b.jpeg
18,https://www.csis.org/analysis/effects-trump-administrations-tariff-threats-against-canada-and-mexico,Effects of the Trump Administration’s Tariff Threats Against Canada and Mexico,CSIS | Center for Strategic and International Studies,"Mar 31, 2025",Canada and Mexico will make long-term investments in infrastructure to facilitate access to non-U.S. markets. Instead of working together to build “Fortress...,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea9d65104fccc33448ab4da4e14914fe138206fea45607b1e5.jpeg
19,https://www.nbcnews.com/politics/economics/trump-administration-floats-exemptions-tariffs-canadian-mexican-goods-rcna195110,Trump walks back tariffs on a range of goods from Mexico and Canada for one month,NBC News,"Mar 6, 2025",Trump walks back tariffs on a range of goods from Mexico and Canada for one month. About half of goods from Mexico and more than one-third from Canada won't...,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea98fe1d4c2fbfec4891b875c312755c671b1e5d1c7f0786aa.jpeg
20,https://www.nbcnews.com/business/autos/trump-auto-tariffs-which-companies-how-much-when-what-to-know-rcna198223,Trump to impose 25% tariff on all imported vehicles and foreign-made auto parts,NBC News,"Mar 27, 2025",Trump to impose 25% tariff on all imported vehicles and foreign-made auto parts · Audi Q5 · Buick Encore GX · Chevrolet Silverado 1500 · Chrysler Pacifica and...,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea0eab69eed6a58e53a7e0b4b134589eeb123066e38d71a21d.jpeg
21,https://www.uschamber.com/co/good-company/growth-studio/tariffs-imports-small-business,Tariff Impacts on Small Business,U.S. Chamber of Commerce,"Mar 3, 2025","Tariffs on imported goods, parts, and raw materials have small businesses scrambling to adjust, adapt, and ultimately, survive this new economic reality. Small...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eab2388364a8b77d314a4219060af77f2001fc7fa2204f3fc7.jpeg
22,https://apnews.com/article/trump-tariffs-mexico-canada-b19e004dddb579c373b247037e04424b,"Trump says 25% tariffs on Mexican and Canadian imports will start Tuesday, with 'no room' for delay",AP News,"Mar 3, 2025","President Donald Trump says 25% tariffs on imports from Mexico and Canada will start Tuesday, sparking renewed fears of a North American trade war.",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea73a34ffbd62861924cc9e2cbc57ebc9190e2723ca071e6c8.jpeg
23,https://www.npr.org/2025/03/13/g-s1-53502/global-trade-tensions-trump-tariffs,"As global tariff tensions rise, here's the latest on U.S. trade with top partners",NPR,"Mar 13, 2025","This marks the latest development in a dizzying tit-for-tat trade dispute between the two nations, sparked by Trump's 25% tariffs on most imports from Canada...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea701d10aa50655959a00360a1d5bada29373196fe77c9468a.jpeg
24,https://www.reuters.com/world/us/countries-can-avoid-trumps-april-tariffs-by-cutting-trade-barriers-bessent-says-2025-03-18/,"Trump still intends for reciprocal tariffs to kick in on April 2, White House says",Reuters,"Mar 18, 2025","US President Donald Trump still intends for new reciprocal tariff rates to take effect on April 2, the White House said on Tuesday.",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea6860aa689a67a22926ce49253650e8b7880609e348ef54f6.jpeg
25,https://www.atlanticcouncil.org/blogs/new-atlanticist/wall-street-is-finally-waking-up-to-trumps-tariff-policy/,Wall Street is finally waking up to Trump’s tariff policy,Atlantic Council,"Mar 4, 2025","Wall Street finally realized that US President Donald Trump was serious about tariffs. On Monday, the S&P 500 fell nearly 2 percent.",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea9d5d28637b0b297e4595ee31988531b0f5be789edc71f5c0.jpeg
26,https://www.cnn.com/2025/04/01/business/trump-tariff-liberation-day,"Trump’s ‘Liberation Day’ tariffs will go into effect immediately, White House says",CNN,"Apr 1, 2025",The administration's “Liberation Day” trade policy announcement is expected to be the most aggressive tariff move yet by the most tariff-obsessed president in...,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eabef2f8444c7d9667a4de00f3efcb25ecc37ff390d742910d.jpeg
27,https://www.reuters.com/markets/europe/european-companies-take-evasive-action-trump-tariffs-hit-brace-second-wave-2025-03-04/,"Europe Inc take evasive action as Trump tariffs hit, braces for second wave",Reuters,"Mar 4, 2025","European companies, from Swiss chocolatiers to German car parts makers, are preparing their ""plan Bs"" to adapt to U.S. trade tariffs that became a blunt...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eaa2a048dbc707e5e69cb7ce9af338f9fb55bd440e00ff429e.jpeg
28,https://apnews.com/article/tariffs-trump-economy-mexico-canada-bfed103a11a2a71d8353350f94c78814,Trump changes course and delays some tariffs on Mexico and Canada,AP News,"Mar 6, 2025",President Donald Trump on Thursday postponed 25% tariffs on many imports from Mexico and some imports from Canada for a month amid widespread fears of the...,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea58f7395465e7a1b471e3a0f1fea16c64ae2805101931d89b.jpeg
29,https://www.npr.org/2025/03/26/nx-s1-5341767/trump-trade-tariffs-imported-cars,Trump announces new 25% tariff on imported cars and car parts,NPR,"Mar 26, 2025",Trump announces new 25% tariff on imported cars and car parts.,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea1a310592e19b352917bea945de7987fcdaf3d5fa0f48a70b.jpeg
30,https://www.cato.org/blog/trumps-tariff-walkback-bows-economic-reality-leaves-plenty-problems,Trump’s Tariff Walkback Bows to Economic Reality but Leaves Plenty of Problems,Cato Institute,"Mar 7, 2025",President Donald Trump exempted Canadian and Mexican imports that enter the US free of duty under the US-Mexico-Canada Agreement (USMCA) from the 25 percent...,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea5d76bd9f4d64552469d4aa260c6bbfa98070e13de8f8107f.jpeg
31,https://apnews.com/article/trump-tariffs-canada-mexico-china-643086a6dc7ff716d876b3c83e3255b0,"Trump’s trade war draws swift retaliation with new tariffs from Mexico, Canada and China",AP News,"Mar 4, 2025","President Donald Trump launched a trade war Tuesday against America's three biggest trading partners, drawing immediate retaliation from Mexico, Canada and...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea644f6320a3a5141bb42ccdcd98792578187ff1d35b396fe1.jpeg
32,https://www.cbre.com/insights/briefs/on-again-off-again-tariffs-and-commercial-real-estate,"On Again, Off Again: Tariffs & Commercial Real Estate",CBRE,"Mar 19, 2025",Tariffs on large trading partners can materially affect commercial real estate market dynamics depending on how long they are left in place and whether key...,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea75344bd02ab7391882b8aa85f7e1dbaa4c7f4c245f92ba40.jpeg
33,https://www.reuters.com/world/trade-wars-erupt-trump-hits-canada-mexico-china-with-steep-tariffs-2025-03-04/,"Trump triggers trade war, price hikes with tariffs on Canada, China and Mexico",Reuters,"Mar 4, 2025","An extra 10% duty on Chinese goods took effect Tuesday, adding to a 10% tariff imposed by Trump on February 4 and stacking on top of tariffs of up to 25%...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea9401bfb57e0dcd6489f6b3dd928c02c40e0ba6769f162cb5.jpeg
34,https://apnews.com/article/autos-tariffs-trump-tax-imports-ford-gm-e53823ef7bbb7b3c46d11eca90aaa638,Trump places 25% tariff on imported autos. Carmakers could face higher costs and lower sales,AP News,"Mar 27, 2025","Foreign leaders were quick to criticize the tariffs, a sign that Trump could be intensifying a broader trade war that could damage growth worldwide.",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea2dcdce3697f123a3e69c4334405350dc4779f52a5284d3a1.jpeg
35,https://www.reuters.com/business/autos-transportation/trump-decide-us-tariff-levels-mexico-canada-tuesday-deadline-approaches-2025-03-03/,"Trump locks in Canada, Mexico tariffs to launch on Tuesday; stocks tumble",Reuters,"Mar 3, 2025","Trump locks in Canada, Mexico tariffs to launch on Tuesday; stocks tumble ... WASHINGTON, March 3 (Reuters) - U.S. President Donald Trump said 25% tariffs on...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eafca4d010727664619470143f29b64abd5894d7b3d303b52b.jpeg
36,https://www.nbcnews.com/business/economy/trump-threatens-200-tariff-eu-booze-tax-us-whiskey-rcna196192,"Trump threatens 200% tariff on E.U. wine and liquor, says world is 'ripping us off'",NBC News,"Mar 13, 2025",President Donald Trump threatened Thursday to impose 200% tariffs on alcohol from the European Union in response to the region's retaliatory 50% tariff on U.S....,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea3299d855c0fbb3e99eb73fbb004a83326b3b7662e0afcb32.jpeg
37,https://www.cnn.com/2025/03/10/business/usmca-tariff-delay-trump,Trump’s tariff ‘delay’ is a confusing mess,CNN,"Mar 10, 2025","Although he announced a tariff delay on Thursday through April 2, that was far from a complete pause. The devil is in one big detail: To avoid tariffs during...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea7f00dac1b4693351f8f594bd86513a04ec21fa4a27cd7421.jpeg
38,https://www.cnn.com/2025/03/11/business/tariffs-trump-explainer,What Trump actually wants from tariffs,CNN,"Mar 11, 2025","Trump has promised reciprocal tariffs on a number of products starting April 2, matching foreign countries' tariffs dollar for dollar to restore trade fairness.",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea00ff9b9643d3b21901978fec5eb6f34a4380e3807e4743ed.jpeg
39,https://www.reuters.com/business/tariff-reprieve-likely-be-extended-all-usmca-compliant-goods-lutnick-says-2025-03-06/,"Trump delays tariffs for goods under Mexico, Canada trade deal",Reuters,"Mar 6, 2025",US President Donald Trump suspended on Thursday tariffs of 25% he had imposed this week on most goods from Canada and Mexico.,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea26edddbf21d5278914a1c7bc134c1e2a4deda676260da06c.jpeg
40,https://www.nbcnews.com/business/economy/trump-tariffs-steel-aluminum-levies-imports-europe-china-uk-japan-rcna195810,U.S. allies hit back as Trump administration imposes metals tariffs,NBC News,"Mar 12, 2025",America's allies hit back as the Trump administration imposes 25% tariffs on steel and aluminum imports. Trump eased off of an earlier threat to raise those...,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eaf1b3caa6e89bf07fcba6bd76ea932689bbcd3e0e1da036b4.jpeg
41,https://www.bbc.com/news/articles/c5y03qleevvo,Trump tariffs: US expands exemptions to Canada and Mexico tariffs,BBC,"Mar 6, 2025",Trump expands exemptions from Canada and Mexico tariffs ... US President Donald Trump has signed orders significantly expanding the goods exempted from his new...,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eaf3b871189bca66299415c8000a5995930b1a81859335ad21.jpeg
42,https://abcnews.go.com/Business/trump-adds-25-tariff-canadian-steel-aluminum/story?id=119663612,Trump reverses course on additional 25% tariff on Canadian steel and aluminum,ABC News,"Mar 11, 2025","Even with the new deal, the original 25% tariffs on steel and aluminum imports from all countries will still go into effect on Wednesday as planned, according...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eafdbe41b690c4ed94945ca1c70ebf2c41e58b19d56648b246.jpeg
43,https://www.reuters.com/world/us/trump-aides-draft-proposal-least-20-tariffs-most-imports-us-washington-post-2025-04-01/,White House says Trump will go ahead with tariffs as nervous world awaits trade war,Reuters,"Apr 1, 2025","The White House confirmed on Tuesday that President Donald Trump will impose new tariffs on Wednesday, though it provided no details about the size and scope...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea4ed9dcdee5affc14f76247003f28ef4dee02e911ed759b95.jpeg
44,https://www.reuters.com/markets/trump-threatens-200-wine-tariff-if-eu-does-not-remove-whiskey-tariff-2025-03-13/,Trump threatens tariffs on European wine and spirits in escalating trade war,Reuters,"Mar 13, 2025","US President Donald Trump on Thursday threatened to slap a 200% tariff on wine, cognac and other alcohol imports from Europe, opening a new front in a global...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea0e2c42014de19c95e0ad5771ab90b6f117ea7c4badb57d9d.jpeg
45,https://apnews.com/article/trump-tariffs-eu-whiskey-cb259623a25ca1bfdb4673262ceef85b,Trump threatens retaliatory 200% tariff on European wine after EU proposes American whiskey tax,AP News,"Mar 13, 2025","President Donald Trump on Thursday threatened a 200% tariff on European wine, Champagne and spirits if the European Union goes forward with a planned tariff on...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eab389278d7852eede89492c0f4bbe699ec4f81af8cd2be2d2.jpeg
46,https://www.npr.org/2025/03/07/nx-s1-5318785/tariff-dodging-companies-exemptions-engineering,A look at some of the creative ways companies try to dodge high tariffs,NPR,"Mar 7, 2025","Method 3: Reclassifying and redesigning products themselves. Some companies have turned to tariff engineering instead. ""In other words, companies try to say...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eaf408e98564c6d69ee8d48d265dadcfe6e84294735e580815.jpeg
47,https://www.nytimes.com/live/2025/03/04/us/tariffs-us-canada-mexico-china,"Trump’s Tariffs Set Off Day of Anger, Retaliation and Market Unease",The New York Times,"Mar 4, 2025","China, Canada and Mexico responded angrily on Tuesday to steep new tariffs imposed by President Trump, setting off a day of retaliatory actions, stern warnings...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eab0c1b27e59eacecae3f0373a2a4abed3e190571cf1ff3152.jpeg
48,https://www.reuters.com/markets/commodities/trumps-canada-oil-tariff-speaks-us-vulnerability-2025-03-06/,Trump’s Canada oil tariff speaks of US vulnerability,Reuters,"Mar 6, 2025","The Republican president said on Monday that all imports of Canadian and Mexican goods would be subject to a 25% tariff, except Canadian energy, which will only...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea46d2d0467feebcf77cc8754557c65a221db6bb8a6f7a77d1.jpeg
49,https://www.cnn.com/2025/03/06/economy/tariffs-delay-mexico-canada,Trump delays some tariffs on Mexico and Canada for one month,CNN,"Mar 6, 2025","On Wednesday, Trump paused the tariffs on autos coming from Mexico and Canada for a month. And now today, they're all off. Until at least April 2. Maybe.",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eab76fc3ca022672f902581e8a2b911be947d204bb5fe74977.jpeg
50,https://www.axios.com/2025/03/21/trump-tariffs-april-2,"Trump tariffs: What to know about Canada, Mexico, and cars on April 2",Axios,"Mar 21, 2025","Trump calls the tariffs set to be revealed on April 2 ""the big one.""",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea4dfbe9f34bd1242a3dea3c26734396842213bd13cddb6b79.jpeg
51,https://abcnews.go.com/Business/trump-threatens-200-tariff-eu-alcohol/story?id=119747537,Trump stands firm on tariff plans after threat against EU: 'I'm not going to bend at all',ABC News,"Mar 13, 2025","Trump threatens 200% tariff on EU champagne, other alcohol productsABC News' Alexis Christoforous reports on the announcement from President Trump, which came...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea6a2286776183e00eee0058ffcbe15d2c80099f7838da90f6.jpeg
52,https://www.cnn.com/2025/03/07/business/tariffs-trump-canada,"Trump threatens new tariffs on Canada, including 250% tax on dairy",CNN,"Mar 7, 2025",President Donald Trump has threatened new tariffs as soon as Friday on Canadian lumber and dairy products.,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea83f197f722c1ca06f724f6672d7aae452c60e8e3ed3a4037.jpeg
53,https://www.usatoday.com/story/graphics/2025/03/28/trump-tariff-tracker-timeline/82367214007/,Tariff timeline: Tracking the evolution of Donald Trump's trade war,USA Today,"Mar 28, 2025","On March 12, a 25% tariff on imported steel and aluminum went into effect. Before that, tariffs for products made in China increased to 20%, and Trump imposed a...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea2b212f5ab722a251e21d2a38c26a2ee8f4d49de7d92c5194.jpeg
54,https://www.cnn.com/2025/03/04/economy/trade-mexico-canada-china-tariffs-trump-hnk-intl,China and Canada immediately retaliate against Trump’s tariffs. Mexico is next,CNN,"Mar 4, 2025",China and Canada immediately retaliate against Trump's tariffs. Mexico is next ... President Donald Trump's blanket 25% tariffs on Mexico and Canada took effect...,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea43e85410aa4664a7449dbd2dbee684a666fa4a1703555888.jpeg
55,https://www.cnn.com/2025/03/12/economy/trump-steel-aluminum-tariffs-hnk-intl,Trump imposes sweeping 25% steel and aluminum tariffs. Canada and Europe swiftly retaliate,CNN,"Mar 12, 2025","Trump's policy has had plenty of fits and starts. Hours before enacting the latest tariffs, Trump reversed a threat to double the rate on steel and aluminum...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eac2fa6a7f5c91506083e81501ae3693473b02183e8c1aa6e5.jpeg
56,https://www.brookings.edu/articles/trumps-tariffs-are-not-going-over-well-with-his-base/,Trump’s tariffs are not going over well with his base,Brookings,"Mar 14, 2025","A CNN/SSRS poll released on March 12 found that 61% of Americans, and 72% of young adults, disapprove of the way Trump is handling tariffs.",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eadbc5d9de8aebcd4f607c824c7094433b16421bc850ecf493.jpeg
57,https://www.cnn.com/2025/03/26/economy/auto-tariffs-announcement,Trump announces new auto tariffs in a major trade war escalation,CNN,"Mar 27, 2025","in Richmond, California. Video Ad Feedback. Will Trump's new auto tariffs send car prices soaring...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ead51cb25ffae5a35831ad890a4f050ff824fc397d94846b9e.jpeg
58,https://www.nytimes.com/2025/03/04/business/economy/trump-tariffs-canada-mexico-china.html,"Trump’s Tariffs on Canada, Mexico and China Snap Into Effect",The New York Times,"Mar 4, 2025","As of 12:01 a.m. Tuesday, the Trump administration added a 25 percent tariff on all imports from Canada and Mexico. The administration also added another 10...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eae6d9b4447061eea67e0e76bda3bd686ba51e65cc76b64bbf.jpeg
59,https://www.npr.org/2025/03/13/nx-s1-5327141/trump-european-alcohol-tariff,Trump threatens a 200% tariff on European alcohol,NPR,"Mar 13, 2025",President Trump is now threatening a 200% tariff on European alcohol in response to the European Union's retaliation against US steel and aluminum tariffs.,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea5a3f6c6dead0d9cf2df6b308f3f1afc8a91065fee85fa385.jpeg
60,https://www.reuters.com/graphics/TRUMP-TARIFFS/STEEL/gdpznwgdzpw/,What happened the last time Trump imposed tariffs on steel and aluminum,Reuters,"Mar 11, 2025","It will not be the first time Trump has placed tariffs on steel and aluminum, both of which are crucial for industries like construction and manufacturing. In...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eaf58a611316348106fde97658b19913ef5031482336b7ee06.jpeg
61,https://www.chathamhouse.org/2025/03/trumps-tariff-policy-undermines-his-own-agenda-and-foundations-us-economic-power,Trump’s tariff policy undermines his own agenda and the foundations of US economic power,Chatham House,"Mar 26, 2025",Undermining domestic priorities. President Trump's election campaign promised to lower prices and revive manufacturing. Yet his maximalist embrace of tariffs...,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eae2315675b70bb15cd83d3eee601b330bb22610f0ac9567dc.jpeg
62,https://www.foreignaffairs.com/united-states/incoherent-case-tariffs-trump,The Incoherent Case for Tariffs: Trump’s Fixation on Economic Coercion Will Subvert His Economic Goals,Foreign Affairs,"Mar 11, 2025",But tariffs do have consequences for exports. Higher U.S. tariffs increase the value of the dollar because Americans cut back on purchasing imported goods. And...,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea736933dc5086d8a1a1fe6054810c4536eabc4ab3ecfaa90f.jpeg
63,https://www.reuters.com/world/us/trump-ratcheting-up-trade-war-presses-ahead-with-auto-tariffs-2025-03-26/,Canada will respond to Trump auto tariffs with its own trade actions,Reuters,"Mar 27, 2025",Canadian Prime Minister Mark Carney said on Thursday that he would respond with unspecified trade actions if US President Donald Trump imposes new auto tariffs.,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea15b591bf797d8aa035690a3d4531142ee800fc75ae583d3e.jpeg
